State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Wheat,Dec - 2021,Mandi Modal Price (AgMarknet),1990.38,Prices,Rs/Qtl
All India,Wheat,Dec - 2021,Mandi Arrival Quantity (AgMarknet),675532.83,Arrivals,Tonnes
All India,Wheat,Jan - 2022,Mandi Modal Price (AgMarknet),1993.75,Prices,Rs/Qtl
All India,Wheat,Jan - 2022,Mandi Arrival Quantity (AgMarknet),636171.93,Arrivals,Tonnes
All India,Wheat,Feb - 2022,Mandi Modal Price (AgMarknet),2020.37,Prices,Rs/Qtl
All India,Wheat,Feb - 2022,Mandi Arrival Quantity (AgMarknet),596720.82,Arrivals,Tonnes
All India,Wheat,Mar - 2022,Mandi Modal Price (AgMarknet),2160.23,Prices,Rs/Qtl
All India,Wheat,Mar - 2022,Mandi Arrival Quantity (AgMarknet),2107822.28,Arrivals,Tonnes
All India,Wheat,Apr - 2022,Mandi Modal Price (AgMarknet),2066.55,Prices,Rs/Qtl
All India,Wheat,Apr - 2022,Mandi Arrival Quantity (AgMarknet),10859530.58,Arrivals,Tonnes
All India,Wheat,May - 2022,Mandi Arrival Quantity (AgMarknet),4100775.1,Arrivals,Tonnes
All India,Wheat,May - 2022,Mandi Modal Price (AgMarknet),2106.21,Prices,Rs/Qtl
All India,Wheat,Jun - 2022,Mandi Arrival Quantity (AgMarknet),2116437.26,Arrivals,Tonnes
All India,Wheat,Jun - 2022,Mandi Modal Price (AgMarknet),2052.1,Prices,Rs/Qtl
All India,Wheat,Jul - 2022,Mandi Modal Price (AgMarknet),2117.59,Prices,Rs/Qtl
All India,Wheat,Jul - 2022,Mandi Arrival Quantity (AgMarknet),1433499.17,Arrivals,Tonnes
All India,Wheat,Aug - 2022,Mandi Modal Price (AgMarknet),2276.62,Prices,Rs/Qtl
All India,Wheat,Aug - 2022,Mandi Arrival Quantity (AgMarknet),1110012.21,Arrivals,Tonnes
All India,Wheat,Sep - 2022,Mandi Modal Price (AgMarknet),2290.35,Prices,Rs/Qtl
All India,Wheat,Sep - 2022,Mandi Arrival Quantity (AgMarknet),1137021.11,Arrivals,Tonnes
All India,Wheat,Oct - 2022,Mandi Modal Price (AgMarknet),2352.37,Prices,Rs/Qtl
All India,Wheat,Oct - 2022,Mandi Arrival Quantity (AgMarknet),861955.61,Arrivals,Tonnes
All India,Wheat,Nov - 2022,Mandi Modal Price (AgMarknet),2486.33,Prices,Rs/Qtl
All India,Wheat,Nov - 2022,Mandi Arrival Quantity (AgMarknet),959187.8,Arrivals,Tonnes
All India,Wheat,Dec - 2022,Mandi Arrival Quantity (AgMarknet),893960.28,Arrivals,Tonnes
All India,Wheat,Dec - 2022,Mandi Modal Price (AgMarknet),2581.67,Prices,Rs/Qtl
All India,Wheat,Jan - 2023,Mandi Arrival Quantity (AgMarknet),704122.36,Arrivals,Tonnes
All India,Wheat,Jan - 2023,Mandi Modal Price (AgMarknet),2696.19,Prices,Rs/Qtl
All India,Wheat,Feb - 2023,Mandi Modal Price (AgMarknet),2508.58,Prices,Rs/Qtl
All India,Wheat,Feb - 2023,Mandi Arrival Quantity (AgMarknet),781557.83,Arrivals,Tonnes
All India,Wheat,Mar - 2023,Mandi Arrival Quantity (AgMarknet),2013947.02,Arrivals,Tonnes
All India,Wheat,Mar - 2023,Mandi Modal Price (AgMarknet),2214.47,Prices,Rs/Qtl
All India,Wheat,Apr - 2023,Mandi Arrival Quantity (AgMarknet),10938685.9,Arrivals,Tonnes
All India,Wheat,Apr - 2023,Mandi Modal Price (AgMarknet),2147.58,Prices,Rs/Qtl
All India,Wheat,May - 2023,Mandi Modal Price (AgMarknet),2195.6,Prices,Rs/Qtl
All India,Wheat,May - 2023,Mandi Arrival Quantity (AgMarknet),4199073.69,Arrivals,Tonnes
All India,Wheat,Jun - 2023,Mandi Arrival Quantity (AgMarknet),1873159.44,Arrivals,Tonnes
All India,Wheat,Jun - 2023,Mandi Modal Price (AgMarknet),2292.34,Prices,Rs/Qtl
All India,Wheat,Jul - 2023,Mandi Arrival Quantity (AgMarknet),1263785.02,Arrivals,Tonnes
All India,Wheat,Jul - 2023,Mandi Modal Price (AgMarknet),2298.11,Prices,Rs/Qtl
All India,Wheat,Aug - 2023,Mandi Arrival Quantity (AgMarknet),1121902.8,Arrivals,Tonnes
All India,Wheat,Aug - 2023,Mandi Modal Price (AgMarknet),2389.07,Prices,Rs/Qtl
All India,Wheat,Sep - 2023,Mandi Modal Price (AgMarknet),2402.21,Prices,Rs/Qtl
All India,Wheat,Sep - 2023,Mandi Arrival Quantity (AgMarknet),926039.68,Arrivals,Tonnes
All India,Wheat,Oct - 2023,Mandi Arrival Quantity (AgMarknet),1110505.01,Arrivals,Tonnes
All India,Wheat,Oct - 2023,Mandi Modal Price (AgMarknet),2470.21,Prices,Rs/Qtl
All India,Wheat,Nov - 2023,Mandi Modal Price (AgMarknet),2558.08,Prices,Rs/Qtl
All India,Wheat,Nov - 2023,Mandi Arrival Quantity (AgMarknet),801826.83,Arrivals,Tonnes
All India,Wheat,Dec - 2023,Mandi Arrival Quantity (AgMarknet),668124.35,Arrivals,Tonnes
All India,Wheat,Dec - 2023,Mandi Modal Price (AgMarknet),2524.16,Prices,Rs/Qtl
All India,Wheat,Jan - 2024,Mandi Modal Price (AgMarknet),2530.51,Prices,Rs/Qtl
All India,Wheat,Jan - 2024,Mandi Arrival Quantity (AgMarknet),540821.83,Arrivals,Tonnes
All India,Wheat,Feb - 2024,Mandi Arrival Quantity (AgMarknet),811594.46,Arrivals,Tonnes
All India,Wheat,Feb - 2024,Mandi Modal Price (AgMarknet),2456.78,Prices,Rs/Qtl
All India,Wheat,Mar - 2024,Mandi Arrival Quantity (AgMarknet),1861830.76,Arrivals,Tonnes
All India,Wheat,Mar - 2024,Mandi Modal Price (AgMarknet),2408.47,Prices,Rs/Qtl
All India,Wheat,Apr - 2024,Mandi Arrival Quantity (AgMarknet),10544683.28,Arrivals,Tonnes
All India,Wheat,Apr - 2024,Mandi Modal Price (AgMarknet),2309.31,Prices,Rs/Qtl
All India,Wheat,May - 2024,Mandi Arrival Quantity (AgMarknet),5265609.76,Arrivals,Tonnes
All India,Wheat,May - 2024,Mandi Modal Price (AgMarknet),2358.25,Prices,Rs/Qtl
All India,Wheat,Jun - 2024,Mandi Arrival Quantity (AgMarknet),1791330.33,Arrivals,Tonnes
All India,Wheat,Jun - 2024,Mandi Modal Price (AgMarknet),2438.28,Prices,Rs/Qtl
All India,Wheat,Jul - 2024,Mandi Arrival Quantity (AgMarknet),1166444.57,Arrivals,Tonnes
All India,Wheat,Jul - 2024,Mandi Modal Price (AgMarknet),2479.77,Prices,Rs/Qtl
All India,Wheat,Aug - 2024,Mandi Modal Price (AgMarknet),2645.86,Prices,Rs/Qtl
All India,Wheat,Aug - 2024,Mandi Arrival Quantity (AgMarknet),1114872.6,Arrivals,Tonnes
All India,Wheat,Sep - 2024,Mandi Arrival Quantity (AgMarknet),1057270.67,Arrivals,Tonnes
All India,Wheat,Sep - 2024,Mandi Modal Price (AgMarknet),2616.01,Prices,Rs/Qtl
All India,Wheat,Oct - 2024,Mandi Arrival Quantity (AgMarknet),1004985.9,Arrivals,Tonnes
All India,Wheat,Oct - 2024,Mandi Modal Price (AgMarknet),2731.18,Prices,Rs/Qtl
All India,Wheat,Nov - 2024,Mandi Modal Price (AgMarknet),2824.07,Prices,Rs/Qtl
All India,Wheat,Nov - 2024,Mandi Arrival Quantity (AgMarknet),852793.21,Arrivals,Tonnes
All India,Wheat,Dec - 2024,Mandi Modal Price (AgMarknet),2844.29,Prices,Rs/Qtl
All India,Wheat,Dec - 2024,Mandi Arrival Quantity (AgMarknet),787683.76,Arrivals,Tonnes
All India,Wheat,Jan - 2025,Mandi Modal Price (AgMarknet),2939.69,Prices,Rs/Qtl
All India,Wheat,Jan - 2025,Mandi Arrival Quantity (AgMarknet),817162.12,Arrivals,Tonnes
All India,Wheat,Feb - 2025,Mandi Modal Price (AgMarknet),2879.0,Prices,Rs/Qtl
All India,Wheat,Feb - 2025,Mandi Arrival Quantity (AgMarknet),850865.45,Arrivals,Tonnes
All India,Wheat,Mar - 2025,Mandi Arrival Quantity (AgMarknet),2845796.26,Arrivals,Tonnes
All India,Wheat,Mar - 2025,Mandi Modal Price (AgMarknet),2574.03,Prices,Rs/Qtl
All India,Wheat,Apr - 2025,Mandi Modal Price (AgMarknet),2449.29,Prices,Rs/Qtl
All India,Wheat,Apr - 2025,Mandi Arrival Quantity (AgMarknet),14337912.96,Arrivals,Tonnes
All India,Wheat,May - 2025,Mandi Arrival Quantity (AgMarknet),5030431.66,Arrivals,Tonnes
All India,Wheat,May - 2025,Mandi Modal Price (AgMarknet),2493.57,Prices,Rs/Qtl
All India,Wheat,Jun - 2025,Mandi Arrival Quantity (AgMarknet),1953650.69,Arrivals,Tonnes
All India,Wheat,Jun - 2025,Mandi Modal Price (AgMarknet),2514.51,Prices,Rs/Qtl
All India,Wheat,Jul - 2025,Mandi Modal Price (AgMarknet),2522.54,Prices,Rs/Qtl
All India,Wheat,Jul - 2025,Mandi Arrival Quantity (AgMarknet),1424955.24,Arrivals,Tonnes
All India,Wheat,Aug - 2025,Mandi Modal Price (AgMarknet),2602.23,Prices,Rs/Qtl
All India,Wheat,Aug - 2025,Mandi Arrival Quantity (AgMarknet),1261203.37,Arrivals,Tonnes
All India,Wheat,Sep - 2025,Mandi Arrival Quantity (AgMarknet),1377975.33,Arrivals,Tonnes
All India,Wheat,Sep - 2025,Mandi Modal Price (AgMarknet),2593.69,Prices,Rs/Qtl
All India,Wheat,Oct - 2025,Mandi Arrival Quantity (AgMarknet),1047444.74,Arrivals,Tonnes
All India,Wheat,Oct - 2025,Mandi Modal Price (AgMarknet),2554.98,Prices,Rs/Qtl
All India,Wheat,Nov - 2025,Mandi Modal Price (AgMarknet),2542.69,Prices,Rs/Qtl
All India,Wheat,Nov - 2025,Mandi Arrival Quantity (AgMarknet),131078.31,Arrivals,Tonnes
