StateName,Market,Crops,CalendarDay,Mandi Arrival,Modal Price,Minimum Price,Maximum Price,MandiArrivalUOM,PriceUOM,Source
Rajasthan,,Bajra,2025-11,8625,2173.94,,,Tonne,Rs/Qtl,Agmarknet
Haryana,,Bajra,2025-11,6130,1980.71,,,Tonne,Rs/Qtl,Agmarknet
Uttar Pradesh,,Bajra,2025-11,4673,2661.18,,,Tonne,Rs/Qtl,Agmarknet
Gujarat,,Bajra,2025-11,1034,2500.25,,,Tonne,Rs/Qtl,Agmarknet
Madhya Pradesh,,Bajra,2025-11,809,2041.61,,,Tonne,Rs/Qtl,Agmarknet
Maharashtra,,Bajra,2025-11,738,2805.95,,,Tonne,Rs/Qtl,Agmarknet
Andhra Pradesh,,Bajra,2025-11,42,1997.77,,,Tonne,Rs/Qtl,Agmarknet
Tamil Nadu,,Bajra,2025-11,42,3088.11,,,Tonne,Rs/Qtl,Agmarknet
Delhi,,Bajra,2025-11,17,2175.82,,,Tonne,Rs/Qtl,Agmarknet
Karnataka,,Bajra,2025-11,12,2038.61,,,Tonne,Rs/Qtl,Agmarknet
